time_iso,constraint_name,constraint_type,market_ids,profit_per_set,max_size,total_profit,detail
2026-08-22T23:58:52.394274+00:00,fed-decision-in-october-20260617190323537,mint_and_sell,0x12aa13b3da17ceae1b0a59b5d5b77121e91bb79b4bb0b52bf6543ed3f8d0953b|0xa69ef420d8b4075ad8ba8611d02c63cb2ece46f5c8c643af223c272689b0c96f|0xdf9bf27ee5757c55b44b8b9826ddc9ec3a8809aa3278634c45edbb7fc8f1a3e3|0x9cf563d7b55aa9aa876d5d7e55126347eee473f0ae56d799e325fdef2bf25297|0xde5d75ab7702875623ba509bc923241e1211da74a113521b3b70ddac930d7316,0.012,220.0,2.64,"sum(best_bid)=1.0120: mint the complete set for $1, sell every leg at its bid (capped at 220.00 sets by the thinnest leg)"
2026-08-23T01:44:09.520804+00:00,fed-decision-in-october-20260617190323537,mint_and_sell,0x12aa13b3da17ceae1b0a59b5d5b77121e91bb79b4bb0b52bf6543ed3f8d0953b|0xa69ef420d8b4075ad8ba8611d02c63cb2ece46f5c8c643af223c272689b0c96f|0xdf9bf27ee5757c55b44b8b9826ddc9ec3a8809aa3278634c45edbb7fc8f1a3e3|0x9cf563d7b55aa9aa876d5d7e55126347eee473f0ae56d799e325fdef2bf25297|0xde5d75ab7702875623ba509bc923241e1211da74a113521b3b70ddac930d7316,0.012,145.0,1.74,"sum(best_bid)=1.0120: mint the complete set for $1, sell every leg at its bid (capped at 145.00 sets by the thinnest leg)"
2026-08-23T02:50:43.428826+00:00,core-cpi-yoy-august-2026-1786474662954,mint_and_sell,0xd9fde4b6d7a94536397780a8442c4127bbb1fbde7391952f9aa2d4fc5450c1fb|0xb58800e6e714dc9defa2ad6a806cc8dac4d944a617c64282a5c7465ecb853d08|0x3d40ba24b8c60586e279dc64324def3f8ee0cf104db498ff13afc4a2aab4d857|0x31bca4b4c04819ec0c603d92836fa68e241353e5eccc33b3f4790b5928708e32|0x1d866e7dda4d027480a70b8f928cf1e264e4e4c521efa24be8e626728d77cefc|0x180d79a93fab101366039056595a243f879e0f8682fa40367215131cc6020899|0xf044a58ac146acfcfc5570a45f442540883a4889f659d2d3a8d366abde559d8b|0xebe98e62c771f6bbdec956eb11fce5b315c87ade8764849ca865de493401b091|0xff6c591be50c08c9238a82fe3e812587cf0e804986436c07bed650564593f02e|0x9e86c2312a3c223cc147552ca99a557329a56155a42ca48e67d1291c045e70dd,0.017,5.0,0.085,"sum(best_bid)=1.0170: mint the complete set for $1, sell every leg at its bid (capped at 5.00 sets by the thinnest leg)"
2026-08-23T02:50:43.428826+00:00,fed-decision-in-october-20260617190323537,mint_and_sell,0x12aa13b3da17ceae1b0a59b5d5b77121e91bb79b4bb0b52bf6543ed3f8d0953b|0xa69ef420d8b4075ad8ba8611d02c63cb2ece46f5c8c643af223c272689b0c96f|0xdf9bf27ee5757c55b44b8b9826ddc9ec3a8809aa3278634c45edbb7fc8f1a3e3|0x9cf563d7b55aa9aa876d5d7e55126347eee473f0ae56d799e325fdef2bf25297|0xde5d75ab7702875623ba509bc923241e1211da74a113521b3b70ddac930d7316,0.012,120.0,1.44,"sum(best_bid)=1.0120: mint the complete set for $1, sell every leg at its bid (capped at 120.00 sets by the thinnest leg)"
2026-08-23T03:46:28.004972+00:00,core-cpi-yoy-august-2026-1786474662954,mint_and_sell,0xd9fde4b6d7a94536397780a8442c4127bbb1fbde7391952f9aa2d4fc5450c1fb|0xb58800e6e714dc9defa2ad6a806cc8dac4d944a617c64282a5c7465ecb853d08|0x3d40ba24b8c60586e279dc64324def3f8ee0cf104db498ff13afc4a2aab4d857|0x31bca4b4c04819ec0c603d92836fa68e241353e5eccc33b3f4790b5928708e32|0x1d866e7dda4d027480a70b8f928cf1e264e4e4c521efa24be8e626728d77cefc|0x180d79a93fab101366039056595a243f879e0f8682fa40367215131cc6020899|0xf044a58ac146acfcfc5570a45f442540883a4889f659d2d3a8d366abde559d8b|0xebe98e62c771f6bbdec956eb11fce5b315c87ade8764849ca865de493401b091|0xff6c591be50c08c9238a82fe3e812587cf0e804986436c07bed650564593f02e|0x9e86c2312a3c223cc147552ca99a557329a56155a42ca48e67d1291c045e70dd,0.011,5.0,0.055,"sum(best_bid)=1.0110: mint the complete set for $1, sell every leg at its bid (capped at 5.00 sets by the thinnest leg)"
2026-08-23T03:46:28.004972+00:00,fed-decision-in-october-20260617190323537,mint_and_sell,0x12aa13b3da17ceae1b0a59b5d5b77121e91bb79b4bb0b52bf6543ed3f8d0953b|0xa69ef420d8b4075ad8ba8611d02c63cb2ece46f5c8c643af223c272689b0c96f|0xdf9bf27ee5757c55b44b8b9826ddc9ec3a8809aa3278634c45edbb7fc8f1a3e3|0x9cf563d7b55aa9aa876d5d7e55126347eee473f0ae56d799e325fdef2bf25297|0xde5d75ab7702875623ba509bc923241e1211da74a113521b3b70ddac930d7316,0.012,120.0,1.44,"sum(best_bid)=1.0120: mint the complete set for $1, sell every leg at its bid (capped at 120.00 sets by the thinnest leg)"
2026-08-23T04:32:22.620209+00:00,fed-decision-in-october-20260617190323537,mint_and_sell,0x12aa13b3da17ceae1b0a59b5d5b77121e91bb79b4bb0b52bf6543ed3f8d0953b|0xa69ef420d8b4075ad8ba8611d02c63cb2ece46f5c8c643af223c272689b0c96f|0xdf9bf27ee5757c55b44b8b9826ddc9ec3a8809aa3278634c45edbb7fc8f1a3e3|0x9cf563d7b55aa9aa876d5d7e55126347eee473f0ae56d799e325fdef2bf25297|0xde5d75ab7702875623ba509bc923241e1211da74a113521b3b70ddac930d7316,0.012,120.0,1.44,"sum(best_bid)=1.0120: mint the complete set for $1, sell every leg at its bid (capped at 120.00 sets by the thinnest leg)"
2026-08-23T05:07:00.639535+00:00,fed-decision-in-october-20260617190323537,mint_and_sell,0x12aa13b3da17ceae1b0a59b5d5b77121e91bb79b4bb0b52bf6543ed3f8d0953b|0xa69ef420d8b4075ad8ba8611d02c63cb2ece46f5c8c643af223c272689b0c96f|0xdf9bf27ee5757c55b44b8b9826ddc9ec3a8809aa3278634c45edbb7fc8f1a3e3|0x9cf563d7b55aa9aa876d5d7e55126347eee473f0ae56d799e325fdef2bf25297|0xde5d75ab7702875623ba509bc923241e1211da74a113521b3b70ddac930d7316,0.012,120.0,1.44,"sum(best_bid)=1.0120: mint the complete set for $1, sell every leg at its bid (capped at 120.00 sets by the thinnest leg)"
2026-08-23T05:44:08.063512+00:00,core-cpi-yoy-august-2026-1786474662954,mint_and_sell,0xd9fde4b6d7a94536397780a8442c4127bbb1fbde7391952f9aa2d4fc5450c1fb|0xb58800e6e714dc9defa2ad6a806cc8dac4d944a617c64282a5c7465ecb853d08|0x3d40ba24b8c60586e279dc64324def3f8ee0cf104db498ff13afc4a2aab4d857|0x31bca4b4c04819ec0c603d92836fa68e241353e5eccc33b3f4790b5928708e32|0x1d866e7dda4d027480a70b8f928cf1e264e4e4c521efa24be8e626728d77cefc|0x180d79a93fab101366039056595a243f879e0f8682fa40367215131cc6020899|0xf044a58ac146acfcfc5570a45f442540883a4889f659d2d3a8d366abde559d8b|0xebe98e62c771f6bbdec956eb11fce5b315c87ade8764849ca865de493401b091|0xff6c591be50c08c9238a82fe3e812587cf0e804986436c07bed650564593f02e|0x9e86c2312a3c223cc147552ca99a557329a56155a42ca48e67d1291c045e70dd,0.014,5.0,0.07,"sum(best_bid)=1.0140: mint the complete set for $1, sell every leg at its bid (capped at 5.00 sets by the thinnest leg)"
2026-08-23T05:44:08.063512+00:00,fed-decision-in-october-20260617190323537,mint_and_sell,0x12aa13b3da17ceae1b0a59b5d5b77121e91bb79b4bb0b52bf6543ed3f8d0953b|0xa69ef420d8b4075ad8ba8611d02c63cb2ece46f5c8c643af223c272689b0c96f|0xdf9bf27ee5757c55b44b8b9826ddc9ec3a8809aa3278634c45edbb7fc8f1a3e3|0x9cf563d7b55aa9aa876d5d7e55126347eee473f0ae56d799e325fdef2bf25297|0xde5d75ab7702875623ba509bc923241e1211da74a113521b3b70ddac930d7316,0.012,120.0,1.44,"sum(best_bid)=1.0120: mint the complete set for $1, sell every leg at its bid (capped at 120.00 sets by the thinnest leg)"
2026-08-23T06:03:58.051877+00:00,core-cpi-yoy-august-2026-1786474662954,mint_and_sell,0xd9fde4b6d7a94536397780a8442c4127bbb1fbde7391952f9aa2d4fc5450c1fb|0xb58800e6e714dc9defa2ad6a806cc8dac4d944a617c64282a5c7465ecb853d08|0x3d40ba24b8c60586e279dc64324def3f8ee0cf104db498ff13afc4a2aab4d857|0x31bca4b4c04819ec0c603d92836fa68e241353e5eccc33b3f4790b5928708e32|0x1d866e7dda4d027480a70b8f928cf1e264e4e4c521efa24be8e626728d77cefc|0x180d79a93fab101366039056595a243f879e0f8682fa40367215131cc6020899|0xf044a58ac146acfcfc5570a45f442540883a4889f659d2d3a8d366abde559d8b|0xebe98e62c771f6bbdec956eb11fce5b315c87ade8764849ca865de493401b091|0xff6c591be50c08c9238a82fe3e812587cf0e804986436c07bed650564593f02e|0x9e86c2312a3c223cc147552ca99a557329a56155a42ca48e67d1291c045e70dd,0.01,5.0,0.05,"sum(best_bid)=1.0100: mint the complete set for $1, sell every leg at its bid (capped at 5.00 sets by the thinnest leg)"
2026-08-23T06:03:58.051877+00:00,fed-decision-in-october-20260617190323537,mint_and_sell,0x12aa13b3da17ceae1b0a59b5d5b77121e91bb79b4bb0b52bf6543ed3f8d0953b|0xa69ef420d8b4075ad8ba8611d02c63cb2ece46f5c8c643af223c272689b0c96f|0xdf9bf27ee5757c55b44b8b9826ddc9ec3a8809aa3278634c45edbb7fc8f1a3e3|0x9cf563d7b55aa9aa876d5d7e55126347eee473f0ae56d799e325fdef2bf25297|0xde5d75ab7702875623ba509bc923241e1211da74a113521b3b70ddac930d7316,0.012,120.0,1.44,"sum(best_bid)=1.0120: mint the complete set for $1, sell every leg at its bid (capped at 120.00 sets by the thinnest leg)"
2026-08-23T07:00:41.588086+00:00,core-cpi-yoy-august-2026-1786474662954,mint_and_sell,0xd9fde4b6d7a94536397780a8442c4127bbb1fbde7391952f9aa2d4fc5450c1fb|0xb58800e6e714dc9defa2ad6a806cc8dac4d944a617c64282a5c7465ecb853d08|0x3d40ba24b8c60586e279dc64324def3f8ee0cf104db498ff13afc4a2aab4d857|0x31bca4b4c04819ec0c603d92836fa68e241353e5eccc33b3f4790b5928708e32|0x1d866e7dda4d027480a70b8f928cf1e264e4e4c521efa24be8e626728d77cefc|0x180d79a93fab101366039056595a243f879e0f8682fa40367215131cc6020899|0xf044a58ac146acfcfc5570a45f442540883a4889f659d2d3a8d366abde559d8b|0xebe98e62c771f6bbdec956eb11fce5b315c87ade8764849ca865de493401b091|0xff6c591be50c08c9238a82fe3e812587cf0e804986436c07bed650564593f02e|0x9e86c2312a3c223cc147552ca99a557329a56155a42ca48e67d1291c045e70dd,0.018,5.0,0.09,"sum(best_bid)=1.0180: mint the complete set for $1, sell every leg at its bid (capped at 5.00 sets by the thinnest leg)"
